none_Prod_TypeB_nk,none_Prod_TypeC_nk,sum_Gross_Profit_ok
OFFICE SUPPLIES,ENVELOPES,224628.1599999997
OFFICE SUPPLIES,LABELS,128811.89999999998
OFFICE SUPPLIES,PAPER,515438.6699999996
OFFICE SUPPLIES,PENS & ART SUPPLIES,135086.7000000001
OFFICE SUPPLIES,RUBBER BANDS,9112.589999999997
OFFICE SUPPLIES,"SCISSORS, RULERS AND TRIMMERS",62884.70999999994
OFFICE SUPPLIES,STORAGE & ORGANIZATION,219465.80000000042
TECHNOLOGY,COMPUTER PERIPHERALS,1173533.6799999995
TECHNOLOGY,OFFICE MACHINES,5254647.730000007
TECHNOLOGY,TELEPHONES AND COMMUNICATION,3873400.289999996
