none_Date_ok,none_Margin_ok
1998-01-01 00:00:00,-245
1998-01-01 00:00:00,-44
1998-01-01 00:00:00,-27
1998-01-01 00:00:00,-26
1998-01-01 00:00:00,11
1998-01-01 00:00:00,26
1998-01-01 00:00:00,27
1998-01-01 00:00:00,31
1998-01-01 00:00:00,34
1998-01-01 00:00:00,36
1998-01-01 00:00:00,42
1998-01-01 00:00:00,47
1998-01-01 00:00:00,48
1998-01-01 00:00:00,50
1998-01-01 00:00:00,51
1998-01-01 00:00:00,53
1998-01-01 00:00:00,54
1998-01-01 00:00:00,55
1998-01-01 00:00:00,56
1998-01-01 00:00:00,62
1998-01-01 00:00:00,63
1998-01-01 00:00:00,66
1998-01-01 00:00:00,68
1998-01-01 00:00:00,72
1998-01-01 00:00:00,73
1998-01-01 00:00:00,75
1998-01-01 00:00:00,76
1998-01-01 00:00:00,77
1998-01-01 00:00:00,80
1998-01-01 00:00:00,81
1998-01-01 00:00:00,83
1998-01-01 00:00:00,87
1998-01-01 00:00:00,89
1998-01-01 00:00:00,92
1998-01-01 00:00:00,93
1998-01-01 00:00:00,103
1998-01-01 00:00:00,105
1998-01-01 00:00:00,107
1998-01-01 00:00:00,108
1998-01-01 00:00:00,111
1998-01-01 00:00:00,113
1998-01-01 00:00:00,116
1998-01-01 00:00:00,126
1998-01-01 00:00:00,130
1998-01-01 00:00:00,139
1998-01-01 00:00:00,145
1998-01-01 00:00:00,171
1998-01-01 00:00:00,186
1998-01-01 00:00:00,201
1998-01-01 00:00:00,228
1998-01-01 00:00:00,238
1998-01-01 00:00:00,245
1998-01-01 00:00:00,262
1998-01-01 00:00:00,301
1998-01-01 00:00:00,312
1998-01-01 00:00:00,407
1998-01-01 00:00:00,422
1998-02-01 00:00:00,-240
1998-02-01 00:00:00,-60
1998-02-01 00:00:00,-33
1998-02-01 00:00:00,-26
1998-02-01 00:00:00,18
1998-02-01 00:00:00,27
1998-02-01 00:00:00,28
1998-02-01 00:00:00,31
1998-02-01 00:00:00,34
1998-02-01 00:00:00,35
1998-02-01 00:00:00,38
1998-02-01 00:00:00,39
1998-02-01 00:00:00,41
1998-02-01 00:00:00,43
1998-02-01 00:00:00,47
1998-02-01 00:00:00,48
1998-02-01 00:00:00,56
1998-02-01 00:00:00,60
1998-02-01 00:00:00,61
1998-02-01 00:00:00,62
1998-02-01 00:00:00,63
1998-02-01 00:00:00,65
1998-02-01 00:00:00,68
1998-02-01 00:00:00,69
1998-02-01 00:00:00,73
1998-02-01 00:00:00,74
1998-02-01 00:00:00,75
1998-02-01 00:00:00,76
1998-02-01 00:00:00,80
1998-02-01 00:00:00,81
1998-02-01 00:00:00,84
1998-02-01 00:00:00,90
1998-02-01 00:00:00,103
1998-02-01 00:00:00,107
1998-02-01 00:00:00,109
1998-02-01 00:00:00,112
1998-02-01 00:00:00,114
1998-02-01 00:00:00,120
1998-02-01 00:00:00,128
1998-02-01 00:00:00,137
1998-02-01 00:00:00,144
1998-02-01 00:00:00,150
1998-02-01 00:00:00,169
1998-02-01 00:00:00,170
1998-02-01 00:00:00,195
1998-02-01 00:00:00,206
1998-02-01 00:00:00,229
1998-02-01 00:00:00,252
1998-02-01 00:00:00,255
1998-02-01 00:00:00,294
1998-02-01 00:00:00,311
1998-02-01 00:00:00,352
1998-02-01 00:00:00,387
1998-02-01 00:00:00,395
1998-03-01 00:00:00,-245
1998-03-01 00:00:00,-62
1998-03-01 00:00:00,-32
1998-03-01 00:00:00,-27
1998-03-01 00:00:00,16
1998-03-01 00:00:00,18
1998-03-01 00:00:00,25
1998-03-01 00:00:00,27
1998-03-01 00:00:00,31
1998-03-01 00:00:00,32
1998-03-01 00:00:00,35
1998-03-01 00:00:00,37
1998-03-01 00:00:00,42
1998-03-01 00:00:00,43
1998-03-01 00:00:00,47
1998-03-01 00:00:00,48
1998-03-01 00:00:00,49
1998-03-01 00:00:00,55
1998-03-01 00:00:00,62
1998-03-01 00:00:00,63
1998-03-01 00:00:00,64
1998-03-01 00:00:00,66
1998-03-01 00:00:00,70
1998-03-01 00:00:00,71
1998-03-01 00:00:00,72
1998-03-01 00:00:00,73
1998-03-01 00:00:00,77
1998-03-01 00:00:00,84
1998-03-01 00:00:00,87
1998-03-01 00:00:00,89
1998-03-01 00:00:00,104
1998-03-01 00:00:00,105
1998-03-01 00:00:00,108
1998-03-01 00:00:00,109
1998-03-01 00:00:00,117
1998-03-01 00:00:00,125
1998-03-01 00:00:00,126
1998-03-01 00:00:00,132
1998-03-01 00:00:00,139
1998-03-01 00:00:00,158
1998-03-01 00:00:00,163
1998-03-01 00:00:00,173
1998-03-01 00:00:00,186
1998-03-01 00:00:00,213
1998-03-01 00:00:00,239
1998-03-01 00:00:00,253
1998-03-01 00:00:00,268
1998-03-01 00:00:00,284
1998-03-01 00:00:00,301
1998-03-01 00:00:00,324
1998-03-01 00:00:00,405
1998-03-01 00:00:00,420
1998-04-01 00:00:00,-260
1998-04-01 00:00:00,-59
1998-04-01 00:00:00,-32
1998-04-01 00:00:00,-20
1998-04-01 00:00:00,-13
1998-04-01 00:00:00,26
1998-04-01 00:00:00,28
1998-04-01 00:00:00,32
1998-04-01 00:00:00,33
1998-04-01 00:00:00,36
1998-04-01 00:00:00,37
1998-04-01 00:00:00,40
1998-04-01 00:00:00,43
1998-04-01 00:00:00,44
1998-04-01 00:00:00,45
1998-04-01 00:00:00,51
1998-04-01 00:00:00,52
1998-04-01 00:00:00,58
1998-04-01 00:00:00,60
1998-04-01 00:00:00,63
1998-04-01 00:00:00,64
1998-04-01 00:00:00,65
1998-04-01 00:00:00,67
1998-04-01 00:00:00,68
1998-04-01 00:00:00,70
1998-04-01 00:00:00,72
1998-04-01 00:00:00,73
1998-04-01 00:00:00,74
1998-04-01 00:00:00,75
1998-04-01 00:00:00,82
1998-04-01 00:00:00,84
1998-04-01 00:00:00,87
1998-04-01 00:00:00,91
1998-04-01 00:00:00,98
1998-04-01 00:00:00,100
1998-04-01 00:00:00,102
1998-04-01 00:00:00,112
1998-04-01 00:00:00,117
1998-04-01 00:00:00,132
1998-04-01 00:00:00,134
1998-04-01 00:00:00,145
1998-04-01 00:00:00,155
1998-04-01 00:00:00,163
1998-04-01 00:00:00,173
1998-04-01 00:00:00,176
1998-04-01 00:00:00,178
1998-04-01 00:00:00,239
1998-04-01 00:00:00,247
1998-04-01 00:00:00,265
1998-04-01 00:00:00,318
1998-04-01 00:00:00,325
1998-04-01 00:00:00,335
1998-04-01 00:00:00,378
1998-04-01 00:00:00,428
1998-04-01 00:00:00,451
1998-05-01 00:00:00,-265
1998-05-01 00:00:00,-52
1998-05-01 00:00:00,-37
1998-05-01 00:00:00,-32
1998-05-01 00:00:00,-21
1998-05-01 00:00:00,29
1998-05-01 00:00:00,30
1998-05-01 00:00:00,34
1998-05-01 00:00:00,37
1998-05-01 00:00:00,38
1998-05-01 00:00:00,42
1998-05-01 00:00:00,43
1998-05-01 00:00:00,45
1998-05-01 00:00:00,53
1998-05-01 00:00:00,56
1998-05-01 00:00:00,58
1998-05-01 00:00:00,59
1998-05-01 00:00:00,61
1998-05-01 00:00:00,62
1998-05-01 00:00:00,63
1998-05-01 00:00:00,65
1998-05-01 00:00:00,66
1998-05-01 00:00:00,68
1998-05-01 00:00:00,71
1998-05-01 00:00:00,72
1998-05-01 00:00:00,74
1998-05-01 00:00:00,75
1998-05-01 00:00:00,77
1998-05-01 00:00:00,80
1998-05-01 00:00:00,82
1998-05-01 00:00:00,90
1998-05-01 00:00:00,92
1998-05-01 00:00:00,96
1998-05-01 00:00:00,104
1998-05-01 00:00:00,107
1998-05-01 00:00:00,117
1998-05-01 00:00:00,124
1998-05-01 00:00:00,129
1998-05-01 00:00:00,141
1998-05-01 00:00:00,149
1998-05-01 00:00:00,152
1998-05-01 00:00:00,159
1998-05-01 00:00:00,165
1998-05-01 00:00:00,168
1998-05-01 00:00:00,185
1998-05-01 00:00:00,261
1998-05-01 00:00:00,270
1998-05-01 00:00:00,277
1998-05-01 00:00:00,283
1998-05-01 00:00:00,324
1998-05-01 00:00:00,349
1998-05-01 00:00:00,386
1998-05-01 00:00:00,454
1998-05-01 00:00:00,487
1998-06-01 00:00:00,-271
1998-06-01 00:00:00,-72
1998-06-01 00:00:00,-46
1998-06-01 00:00:00,-45
1998-06-01 00:00:00,-31
1998-06-01 00:00:00,25
1998-06-01 00:00:00,26
1998-06-01 00:00:00,30
1998-06-01 00:00:00,31
1998-06-01 00:00:00,32
1998-06-01 00:00:00,35
1998-06-01 00:00:00,36
1998-06-01 00:00:00,38
1998-06-01 00:00:00,41
1998-06-01 00:00:00,43
1998-06-01 00:00:00,46
1998-06-01 00:00:00,53
1998-06-01 00:00:00,55
1998-06-01 00:00:00,56
1998-06-01 00:00:00,59
1998-06-01 00:00:00,62
1998-06-01 00:00:00,63
1998-06-01 00:00:00,64
1998-06-01 00:00:00,65
1998-06-01 00:00:00,67
1998-06-01 00:00:00,68
1998-06-01 00:00:00,73
1998-06-01 00:00:00,74
1998-06-01 00:00:00,75
1998-06-01 00:00:00,77
1998-06-01 00:00:00,78
1998-06-01 00:00:00,81
1998-06-01 00:00:00,82
1998-06-01 00:00:00,85
1998-06-01 00:00:00,93
1998-06-01 00:00:00,94
1998-06-01 00:00:00,96
1998-06-01 00:00:00,107
1998-06-01 00:00:00,114
1998-06-01 00:00:00,121
1998-06-01 00:00:00,136
1998-06-01 00:00:00,140
1998-06-01 00:00:00,149
1998-06-01 00:00:00,154
1998-06-01 00:00:00,163
1998-06-01 00:00:00,164
1998-06-01 00:00:00,167
1998-06-01 00:00:00,178
1998-06-01 00:00:00,201
1998-06-01 00:00:00,204
1998-06-01 00:00:00,261
1998-06-01 00:00:00,278
1998-06-01 00:00:00,288
1998-06-01 00:00:00,332
1998-06-01 00:00:00,362
1998-06-01 00:00:00,398
1998-06-01 00:00:00,415
1998-06-01 00:00:00,534
1998-06-01 00:00:00,595
1998-07-01 00:00:00,-270
1998-07-01 00:00:00,-85
1998-07-01 00:00:00,-67
1998-07-01 00:00:00,-62
1998-07-01 00:00:00,-36
1998-07-01 00:00:00,26
1998-07-01 00:00:00,29
1998-07-01 00:00:00,31
1998-07-01 00:00:00,34
1998-07-01 00:00:00,36
1998-07-01 00:00:00,41
1998-07-01 00:00:00,43
1998-07-01 00:00:00,44
1998-07-01 00:00:00,46
1998-07-01 00:00:00,49
1998-07-01 00:00:00,51
1998-07-01 00:00:00,52
1998-07-01 00:00:00,53
1998-07-01 00:00:00,54
1998-07-01 00:00:00,55
1998-07-01 00:00:00,56
1998-07-01 00:00:00,57
1998-07-01 00:00:00,59
1998-07-01 00:00:00,60
1998-07-01 00:00:00,63
1998-07-01 00:00:00,64
1998-07-01 00:00:00,65
1998-07-01 00:00:00,66
1998-07-01 00:00:00,72
1998-07-01 00:00:00,74
1998-07-01 00:00:00,79
1998-07-01 00:00:00,82
1998-07-01 00:00:00,85
1998-07-01 00:00:00,90
1998-07-01 00:00:00,93
1998-07-01 00:00:00,96
1998-07-01 00:00:00,103
1998-07-01 00:00:00,112
1998-07-01 00:00:00,125
1998-07-01 00:00:00,130
1998-07-01 00:00:00,135
1998-07-01 00:00:00,136
1998-07-01 00:00:00,146
1998-07-01 00:00:00,152
1998-07-01 00:00:00,172
1998-07-01 00:00:00,173
1998-07-01 00:00:00,185
1998-07-01 00:00:00,195
1998-07-01 00:00:00,222
1998-07-01 00:00:00,225
1998-07-01 00:00:00,266
1998-07-01 00:00:00,280
1998-07-01 00:00:00,307
1998-07-01 00:00:00,329
1998-07-01 00:00:00,332
1998-07-01 00:00:00,387
1998-07-01 00:00:00,523
1998-07-01 00:00:00,548
1998-07-01 00:00:00,613
1998-08-01 00:00:00,-284
1998-08-01 00:00:00,-187
1998-08-01 00:00:00,-95
1998-08-01 00:00:00,-67
1998-08-01 00:00:00,-30
1998-08-01 00:00:00,18
1998-08-01 00:00:00,19
1998-08-01 00:00:00,25
1998-08-01 00:00:00,28
1998-08-01 00:00:00,33
