none_Date_ok,none_State_nk,sum_Profit_ok
1998-01-01 00:00:00,California,1034
1998-01-01 00:00:00,Colorado,585
1998-01-01 00:00:00,Connecticut,321
1998-01-01 00:00:00,Florida,336
1998-01-01 00:00:00,Illinois,912
1998-01-01 00:00:00,Iowa,653
1998-01-01 00:00:00,Louisiana,259
1998-01-01 00:00:00,Massachusetts,519
1998-01-01 00:00:00,Missouri,125
1998-01-01 00:00:00,Nevada,236
1998-01-01 00:00:00,New Hampshire,44
1998-01-01 00:00:00,New York,512
1998-01-01 00:00:00,Ohio,384
1998-01-01 00:00:00,Oklahoma,241
1998-01-01 00:00:00,Oregon,444
1998-01-01 00:00:00,Texas,504
1998-01-01 00:00:00,Utah,237
1998-01-01 00:00:00,Washington,405
1998-01-01 00:00:00,Wisconsin,297
1998-02-01 00:00:00,California,1047
1998-02-01 00:00:00,Colorado,622
1998-02-01 00:00:00,Connecticut,309
1998-02-01 00:00:00,Florida,361
1998-02-01 00:00:00,Illinois,963
1998-02-01 00:00:00,Iowa,677
1998-02-01 00:00:00,Louisiana,263
1998-02-01 00:00:00,Massachusetts,498
1998-02-01 00:00:00,Missouri,132
1998-02-01 00:00:00,Nevada,290
1998-02-01 00:00:00,New Hampshire,74
1998-02-01 00:00:00,New Mexico,2
1998-02-01 00:00:00,New York,601
1998-02-01 00:00:00,Ohio,362
1998-02-01 00:00:00,Oklahoma,234
1998-02-01 00:00:00,Oregon,417
1998-02-01 00:00:00,Texas,547
1998-02-01 00:00:00,Utah,251
1998-02-01 00:00:00,Washington,412
1998-02-01 00:00:00,Wisconsin,307
1998-03-01 00:00:00,California,1048
1998-03-01 00:00:00,Colorado,596
1998-03-01 00:00:00,Connecticut,290
1998-03-01 00:00:00,Florida,373
1998-03-01 00:00:00,Illinois,980
1998-03-01 00:00:00,Iowa,706
1998-03-01 00:00:00,Louisiana,251
1998-03-01 00:00:00,Massachusetts,515
1998-03-01 00:00:00,Missouri,142
1998-03-01 00:00:00,Nevada,321
1998-03-01 00:00:00,New Hampshire,84
