none_Product_nk,none_State_nk,sum_Profit_ok
Caffe Mocha,California,884.2815987987501
Caffe Mocha,Colorado,2338.24385849787
Caffe Mocha,Connecticut,4.250068767565258
Caffe Mocha,Florida,583.0323934689461
Caffe Mocha,Illinois,6576.715948013153
Caffe Mocha,Iowa,412.111329487132
Caffe Mocha,Louisiana,1454.5776541589973
Caffe Mocha,Massachusetts,-296.685266456893
Caffe Mocha,Missouri,1224.1101336386428
Caffe Mocha,Nevada,373.8414307312307
Caffe Mocha,New Hampshire,-166.0306341824812
Caffe Mocha,New Mexico,-161.27030180454904
Caffe Mocha,New York,-6354.47796903963
Caffe Mocha,Ohio,2670.846318839433
Caffe Mocha,Oklahoma,492.0404469604785
Caffe Mocha,Oregon,817.8036580194097
Caffe Mocha,Texas,3415.293952030984
Caffe Mocha,Utah,1500.6524067827975
Caffe Mocha,Washington,487.8109054136468
Caffe Mocha,Wisconsin,1417.9184354415522
