avg_App_Ext_Credit_Rating_ok,avg_App_Liquid_Assets_ok,none_App_Prior_Customer_nk,none_Loan_Region_ok
1000,30,YES,6
1173.1475409836066,62.52295081967214,YES,1
1289.019209039548,118.51858757062149,YES,0
1297.4060606060607,66.77046666666666,NO,3
1327.7324937027709,79.83539546599494,NO,1
1334,65,YES,5
1364.1785714285713,106.1,YES,3
1471.6055555555556,74.20022222222221,YES,9
1516.2602739726028,133.00602739726028,NO,8
1538.5,52.516666666666666,NO,6
1541.952380952381,62.54761904761905,YES,8
1620.432630410655,96.21325971143172,NO,0
1849.5696202531647,111.37253164556962,NO,9
2414.6969696969695,301.6969696969697,NO,5
2571.25,236.8375,NO,7
