none_Customer_State_nk,none_Prod_TypeB_nk,none_Product_Container_nk,sum_Discount_ok
ALABAMA,FURNITURE,JUMBO BOX,4.889999999999999
ALABAMA,FURNITURE,JUMBO DRUM,5.409999999999999
ALABAMA,FURNITURE,LARGE BOX,2.8000000000000003
ALABAMA,FURNITURE,MEDIUM BOX,1.9800000000000006
ALABAMA,FURNITURE,SMALL BOX,3.8
ALABAMA,FURNITURE,SMALL PACK,3.3800000000000003
ALABAMA,FURNITURE,WRAP BAG,0.63
ALABAMA,OFFICE SUPPLIES,JUMBO DRUM,0.29000000000000004
ALABAMA,OFFICE SUPPLIES,LARGE BOX,2.6199999999999997
ALABAMA,OFFICE SUPPLIES,MEDIUM BOX,1.4400000000000002
ALABAMA,OFFICE SUPPLIES,SMALL BOX,37.160000000000004
ALABAMA,OFFICE SUPPLIES,SMALL PACK,2.959999999999999
ALABAMA,OFFICE SUPPLIES,WRAP BAG,10.049999999999985
ALABAMA,TECHNOLOGY,JUMBO BOX,0.4
ALABAMA,TECHNOLOGY,JUMBO DRUM,2.570000000000001
ALABAMA,TECHNOLOGY,LARGE BOX,0.7899999999999998
ALABAMA,TECHNOLOGY,MEDIUM BOX,2.2000000000000006
ALABAMA,TECHNOLOGY,SMALL BOX,12.859999999999983
ALABAMA,TECHNOLOGY,SMALL PACK,4.8
ALABAMA,TECHNOLOGY,WRAP BAG,1.3500000000000003
ARIZONA,FURNITURE,JUMBO BOX,6.949999999999996
ARIZONA,FURNITURE,JUMBO DRUM,5.469999999999998
ARIZONA,FURNITURE,LARGE BOX,2.6500000000000004
ARIZONA,FURNITURE,MEDIUM BOX,2.3100000000000005
ARIZONA,FURNITURE,SMALL BOX,4.680000000000001
ARIZONA,FURNITURE,SMALL PACK,4.22
ARIZONA,FURNITURE,WRAP BAG,1.6800000000000006
ARIZONA,OFFICE SUPPLIES,JUMBO DRUM,0.9400000000000002
ARIZONA,OFFICE SUPPLIES,LARGE BOX,3.3000000000000003
ARIZONA,OFFICE SUPPLIES,MEDIUM BOX,2.4900000000000007
ARIZONA,OFFICE SUPPLIES,SMALL BOX,45.25999999999992
ARIZONA,OFFICE SUPPLIES,SMALL PACK,3.46
ARIZONA,OFFICE SUPPLIES,WRAP BAG,14.169999999999979
ARIZONA,TECHNOLOGY,JUMBO BOX,0.72
ARIZONA,TECHNOLOGY,JUMBO DRUM,1.8800000000000008
ARIZONA,TECHNOLOGY,LARGE BOX,1
ARIZONA,TECHNOLOGY,MEDIUM BOX,2.3800000000000003
ARIZONA,TECHNOLOGY,SMALL BOX,17.279999999999987
ARIZONA,TECHNOLOGY,SMALL PACK,5.499999999999997
ARIZONA,TECHNOLOGY,WRAP BAG,0.9700000000000001
CALIFORNIA,FURNITURE,JUMBO BOX,7.429999999999995
CALIFORNIA,FURNITURE,JUMBO DRUM,6.169999999999997
CALIFORNIA,FURNITURE,LARGE BOX,1.99
CALIFORNIA,FURNITURE,MEDIUM BOX,1.2200000000000002
CALIFORNIA,FURNITURE,SMALL BOX,4.45
CALIFORNIA,FURNITURE,SMALL PACK,4.54
CALIFORNIA,FURNITURE,WRAP BAG,1.8400000000000005
CALIFORNIA,OFFICE SUPPLIES,JUMBO DRUM,0.8600000000000001
CALIFORNIA,OFFICE SUPPLIES,LARGE BOX,2.5500000000000007
CALIFORNIA,OFFICE SUPPLIES,MEDIUM BOX,2.1300000000000003
CALIFORNIA,OFFICE SUPPLIES,SMALL BOX,46.06999999999987
CALIFORNIA,OFFICE SUPPLIES,SMALL PACK,4.149999999999999
CALIFORNIA,OFFICE SUPPLIES,WRAP BAG,13.859999999999983
CALIFORNIA,TECHNOLOGY,JUMBO BOX,0.55
CALIFORNIA,TECHNOLOGY,JUMBO DRUM,1.83
CALIFORNIA,TECHNOLOGY,LARGE BOX,1.4600000000000004
CALIFORNIA,TECHNOLOGY,MEDIUM BOX,1.850000000000001
CALIFORNIA,TECHNOLOGY,SMALL BOX,15.60999999999998
CALIFORNIA,TECHNOLOGY,SMALL PACK,7.199999999999996
CALIFORNIA,TECHNOLOGY,WRAP BAG,0.9500000000000001
COLORADO,FURNITURE,JUMBO BOX,5.4999999999999964
COLORADO,FURNITURE,JUMBO DRUM,4.199999999999999
COLORADO,FURNITURE,LARGE BOX,2.26
COLORADO,FURNITURE,MEDIUM BOX,1.5400000000000005
COLORADO,FURNITURE,SMALL BOX,4.300000000000001
COLORADO,FURNITURE,SMALL PACK,3.4700000000000006
COLORADO,FURNITURE,WRAP BAG,1.5500000000000003
COLORADO,OFFICE SUPPLIES,JUMBO DRUM,0.7200000000000001
COLORADO,OFFICE SUPPLIES,LARGE BOX,2.280000000000001
COLORADO,OFFICE SUPPLIES,MEDIUM BOX,0.8700000000000001
COLORADO,OFFICE SUPPLIES,SMALL BOX,35.61000000000002
COLORADO,OFFICE SUPPLIES,SMALL PACK,2.0300000000000007
COLORADO,OFFICE SUPPLIES,WRAP BAG,11.779999999999976
COLORADO,TECHNOLOGY,JUMBO BOX,0.45
COLORADO,TECHNOLOGY,JUMBO DRUM,2.99
COLORADO,TECHNOLOGY,LARGE BOX,1.3800000000000003
COLORADO,TECHNOLOGY,MEDIUM BOX,0.77
COLORADO,TECHNOLOGY,SMALL BOX,13.649999999999979
COLORADO,TECHNOLOGY,SMALL PACK,5.77
COLORADO,TECHNOLOGY,WRAP BAG,0.9400000000000001
CONNECTICUT,FURNITURE,JUMBO BOX,6.509999999999996
CONNECTICUT,FURNITURE,JUMBO DRUM,5.65
CONNECTICUT,FURNITURE,LARGE BOX,2.2700000000000005
CONNECTICUT,FURNITURE,MEDIUM BOX,2.4
CONNECTICUT,FURNITURE,SMALL BOX,3.8399999999999994
CONNECTICUT,FURNITURE,SMALL PACK,3.170000000000001
CONNECTICUT,FURNITURE,WRAP BAG,2.0300000000000002
CONNECTICUT,OFFICE SUPPLIES,JUMBO DRUM,0.74
CONNECTICUT,OFFICE SUPPLIES,LARGE BOX,2.57
CONNECTICUT,OFFICE SUPPLIES,MEDIUM BOX,1.71
CONNECTICUT,OFFICE SUPPLIES,SMALL BOX,41.349999999999945
CONNECTICUT,OFFICE SUPPLIES,SMALL PACK,3.16
CONNECTICUT,OFFICE SUPPLIES,WRAP BAG,15.789999999999978
CONNECTICUT,TECHNOLOGY,JUMBO BOX,0.46
CONNECTICUT,TECHNOLOGY,JUMBO DRUM,2.7600000000000002
CONNECTICUT,TECHNOLOGY,LARGE BOX,0.56
CONNECTICUT,TECHNOLOGY,MEDIUM BOX,3.35
CONNECTICUT,TECHNOLOGY,SMALL BOX,16.50999999999999
CONNECTICUT,TECHNOLOGY,SMALL PACK,5.369999999999999
CONNECTICUT,TECHNOLOGY,WRAP BAG,0.9000000000000001
DELAWARE,FURNITURE,JUMBO BOX,5.839999999999998
DELAWARE,FURNITURE,JUMBO DRUM,3.600000000000001
