avg_Profit_Ratio_ok,none_Market_nk,none_Product_Type_nk,sum_ProjectedSales_ok
-21.767916666666665,East,Espresso,48404888025738.555
1.5084615384615394,West,Coffee,57856393098764.52
5.543611111111111,East,Herbal Tea,41361694351560.19
19.4409375,South,Herbal Tea,25682992109471.273
20.94232142857142,Central,Tea,68380413453583.984
22.345069444444427,South,Espresso,44989439048151.69
22.409666666666666,West,Tea,72219635768343.9
23.653385416666676,Central,Coffee,69079665921559.06
25.031190476190496,Central,Herbal Tea,67885059912884.29
26.577708333333348,South,Coffee,33255929152688.316
27.906602564102553,West,Herbal Tea,72285359938438.66
29.007055555555556,West,Espresso,69911331822395.12
33.52861111111111,Central,Espresso,59702681316437.58
38.8615909090909,East,Tea,32171924905812.17
38.96892857142858,East,Coffee,56639691401960.42
