State,none_Product_nk,sum_Profit_ok
California,Amaretto,-2216.3609320495493
California,Caffe Latte,4497.1568058316525
California,Caffe Mocha,884.2815987987501
California,Chamomile,3251.74390046556
California,Columbian,8564.248748271455
California,Darjeeling,3417.807682689851
California,Decaf Espresso,6581.787930820852
California,Decaf Irish Cream,-3890.823860310834
California,Earl Grey,2333.27575916676
California,Green Tea,1356.2099808127211
California,Lemon,5450.279451426473
California,Mint,1556.995535719318
Colorado,Amaretto,3410.355533693186
Colorado,Caffe Mocha,2338.24385849787
Colorado,Chamomile,2675.814418170543
Colorado,Columbian,1566.7981699116383
Colorado,Darjeeling,366.8139694134984
Colorado,Decaf Espresso,1360.792227230787
Colorado,Decaf Irish Cream,3249.081764840137
Colorado,Earl Grey,827.6508137016965
Colorado,Green Tea,1272.0399483443878
Colorado,Lemon,-140.95837630452107
Colorado,Mint,815.2157248772661
Connecticut,Caffe Mocha,4.250068767565258
Connecticut,Columbian,2997.651831712751
Connecticut,Darjeeling,1219.0678318242553
Connecticut,Decaf Espresso,672.7881394038452
Connecticut,Green Tea,610.0282291880493
Connecticut,Lemon,988.5706303105902
Connecticut,Mint,1127.573528105078
