none_Market_nk,none_Product_Type_nk,none_State_nk,sum_Profit_ok,sum_Sales_ok
Central,Coffee,Colorado,8226.235468444964,16546.00185294643
Central,Coffee,Illinois,7825.7212258725485,18059.496420999712
Central,Coffee,Iowa,774.9777267902542,3928.9306441473395
Central,Coffee,Missouri,2111.6212739842244,7880.228089835665
Central,Coffee,Ohio,1513.6103800386709,8686.51306170365
Central,Coffee,Wisconsin,2812.6345155837435,13978.495851926291
Central,Espresso,Colorado,3699.0360857286564,8667.455306169995
Central,Espresso,Illinois,11071.388704179251,26609.00894908712
Central,Espresso,Iowa,1284.2934841604515,2308.3089071967624
Central,Espresso,Missouri,2234.888805972672,4998.197594572815
Central,Espresso,Ohio,3025.3736043950566,10702.48360080649
Central,Espresso,Wisconsin,2185.1711975712633,6417.226958604397
Central,Herbal Tea,Colorado,3350.071766743288,13840.087647121456
Central,Herbal Tea,Illinois,8228.793720593792,16546.00185294642
Central,Herbal Tea,Iowa,10042.366622104393,22055.111099857157
Central,Herbal Tea,Missouri,-854.040408733501,5915.960407309802
Central,Herbal Tea,Ohio,1199.9169321118593,3160.3264810756036
Central,Herbal Tea,Wisconsin,2786.673075279371,6367.572424573834
Central,Tea,Colorado,2466.504731459582,9130.379595355207
Central,Tea,Illinois,3696.448152586513,8667.455306169995
Central,Tea,Iowa,10109.170081507498,26451.35835317961
Central,Tea,Missouri,111.46711747170642,5850.769809421727
Central,Tea,Ohio,5029.3471802018685,11973.099042468515
Central,Tea,Wisconsin,917.3825653673625,6307.351346988902
East,Coffee,Connecticut,2997.651831712751,6922.981495964415
East,Coffee,Florida,5031.935113344012,11973.099042468515
East,Coffee,Massachusetts,12489.319485371616,13301.741025704356
East,Coffee,New Hampshire,1906.3046531762664,6197.304470914659
East,Coffee,New York,8564.248748271457,18244.565366908486
East,Espresso,Connecticut,677.0382081714104,6330.901538273475
East,Espresso,Florida,2319.9890753088866,10785.500219884416
East,Espresso,Massachusetts,2386.5516197170036,10604.31158003096
East,Espresso,New Hampshire,-376.2102234720405,4449.591250765917
East,Espresso,New York,1234.3216427105801,16234.583436783785
East,Herbal Tea,Connecticut,2116.1441584156682,7880.228089835666
East,Herbal Tea,Florida,2672.8485385150107,9610.222590646272
East,Herbal Tea,Massachusetts,366.8139694134984,2901.964329866859
East,Herbal Tea,New Hampshire,-42.52565424754498,1972.7350893365206
East,Herbal Tea,New York,1310.6600572256812,18996.544251874875
East,Tea,Connecticut,1829.0960610123047,4294.045242358718
East,Tea,Florida,2284.158704728574,5072.0632836924215
East,Tea,Massachusetts,1199.8130486352707,3160.3264810756036
East,Tea,New Hampshire,1258.4141527390136,2265.460816172392
East,Tea,New York,8985.157025226828,17380.029082513036
South,Coffee,Louisiana,2487.6875318408675,5429.318644611896
South,Coffee,New Mexico,218.85087868755818,6328.335484227755
South,Coffee,Oklahoma,1974.3101928084702,5010.762158038774
South,Coffee,Texas,7019.27970156721,16487.512865809895
South,Espresso,Louisiana,2376.9728403474364,9786.214714400181
South,Espresso,New Mexico,0.04105444146723869,6669.809675835624
South,Espresso,Oklahoma,5518.962939483415,13360.480324297243
South,Espresso,Texas,7106.981772239565,15172.934333618641
South,Herbal Tea,Louisiana,2491.989056195398,7947.393658783485
South,Herbal Tea,New Mexico,578.8211594672694,2894.9948095637164
South,Herbal Tea,Oklahoma,1065.7416350815834,9090.940421344863
South,Herbal Tea,Texas,1637.002322724441,5749.663219779204
West,Coffee,California,2457.0639559110737,24697.585397408795
West,Coffee,Nevada,165.04200763063764,3657.618306064782
West,Coffee,Oregon,1090.6667353659084,8712.01691053022
West,Coffee,Utah,2786.685696100447,10714.794137393581
West,Coffee,Washington,2224.4969912652873,10074.378347367176
West,Espresso,California,11963.226335451252,34298.89869288266
West,Espresso,Nevada,1658.1052338983711,3518.4205000322186
West,Espresso,Oregon,3845.6613120800207,13805.202135063866
West,Espresso,Utah,3727.8367753156595,8678.58790377009
West,Espresso,Washington,2673.338274904644,9610.222590646272
West,Herbal Tea,California,10259.01888761135,22721.70111344805
West,Herbal Tea,Nevada,8695.15788866459,25749.38616479525
West,Herbal Tea,Oregon,1977.7794019773698,5029.1916543075595
West,Herbal Tea,Utah,1230.5815624831216,9321.48992247404
West,Herbal Tea,Washington,4138.547411393092,9463.591083413758
West,Tea,California,7107.293422669333,15172.934333618636
West,Tea,Nevada,98.0547755435914,27230.19672019223
West,Tea,Oregon,5523.9755603044905,13360.480324297245
West,Tea,Utah,2.450901623744585,6669.809675835627
West,Tea,Washington,2364.8642424494283,9786.214714400181
