none_Order_Date_ok,sum_Gross_Profit_ok,sum_Sales_Total_ok
1997-01-01 00:00:00,23274.609999999993,94222.92999999998
1997-01-02 00:00:00,12205.73,39839.39000000001
1997-01-03 00:00:00,11166.91,46332.28
1997-01-04 00:00:00,14346.969999999998,59203.68999999998
1997-01-05 00:00:00,5389.370000000001,37186.04
1997-01-06 00:00:00,14545.589999999998,74377.10999999997
1997-01-07 00:00:00,15464.289999999999,48597.36
1997-01-08 00:00:00,21726.68,51232.70999999999
1997-01-09 00:00:00,22153.920000000002,68430.65
1997-01-10 00:00:00,4048.4299999999994,36606.810000000005
1997-01-11 00:00:00,18067.98,73389.10000000002
1997-01-12 00:00:00,14314.07,65210.31000000001
1997-01-13 00:00:00,35059.49999999999,97520.57999999997
1997-01-14 00:00:00,14793.48,54594.840000000004
1997-01-15 00:00:00,12543.13,37167.86
1997-01-16 00:00:00,2758.5900000000006,14647.820000000002
1997-01-17 00:00:00,20905.540000000005,61202.97999999998
1997-01-18 00:00:00,5560.55,14553.35
1997-01-19 00:00:00,13112.720000000001,42586.5
1997-01-20 00:00:00,27937.1,88048.79000000004
1997-01-21 00:00:00,12901.729999999998,46075.85000000002
1997-01-22 00:00:00,2477.71,19373.72
1997-01-23 00:00:00,16693.269999999997,55641.71000000001
1997-01-24 00:00:00,9260.749999999998,34614.81
1997-01-25 00:00:00,12311.799999999996,43248.770000000004
1997-01-26 00:00:00,17658.469999999998,68005.06
1997-01-27 00:00:00,10462.439999999999,42731.33
1997-01-28 00:00:00,7994.269999999999,28182.289999999994
1997-01-29 00:00:00,4360.12,31300.79
1997-01-30 00:00:00,3702.0899999999997,22276.949999999997
1997-01-31 00:00:00,6465.5,48418.85000000002
1997-02-01 00:00:00,4156.76,43309.19
1997-02-02 00:00:00,16542.769999999997,79801.69
1997-02-03 00:00:00,7658.360000000001,23211.429999999997
1997-02-04 00:00:00,-184.19,458.71000000000004
1997-02-05 00:00:00,7968.14,43494.96
1997-02-06 00:00:00,26095.459999999995,87393.69999999998
1997-02-07 00:00:00,10063.320000000002,54781.91000000001
1997-02-08 00:00:00,14774.39,57469.22999999999
1997-02-09 00:00:00,14135.800000000001,49801.52000000002
1997-02-10 00:00:00,25366.860000000004,59136.310000000005
1997-02-11 00:00:00,3795.4600000000005,20009.910000000007
1997-02-12 00:00:00,6070.55,39451.95
1997-02-13 00:00:00,15574.210000000001,50162.52000000001
1997-02-14 00:00:00,6853.58,28888.700000000008
1997-02-15 00:00:00,9811.710000000001,41688.34999999999
1997-02-16 00:00:00,8965.65,28605.64
1997-02-17 00:00:00,6702.129999999999,27250.52
1997-02-18 00:00:00,24396.840000000004,80495.65000000001
1997-02-19 00:00:00,16187.349999999999,74584.26999999999
1997-02-20 00:00:00,19329.179999999997,61954.75
1997-02-21 00:00:00,-321.31000000000023,6698.92
1997-02-22 00:00:00,4972.740000000001,23864.999999999996
1997-02-23 00:00:00,11000.640000000001,35605.99
1997-02-24 00:00:00,21201.809999999998,83727.52999999998
1997-02-25 00:00:00,9422.03,31868.98
1997-02-26 00:00:00,2826.84,21067.609999999993
1997-02-27 00:00:00,3959.0299999999997,17472.17
1997-02-28 00:00:00,16888.03,73799.53999999998
1997-03-01 00:00:00,4959.2,18653.56
1997-03-02 00:00:00,9814.55,29592.270000000004
1997-03-03 00:00:00,39757.52,138686.58
1997-03-04 00:00:00,27305.120000000006,88639.51999999999
1997-03-05 00:00:00,19890.15000000001,56680.63000000001
1997-03-06 00:00:00,14015.46,29838.050000000003
1997-03-07 00:00:00,7867.35,43724.619999999995
1997-03-08 00:00:00,8706.66,37909.9
1997-03-09 00:00:00,1655.93,19338.7
1997-03-10 00:00:00,12739.72,39288.14
1997-03-11 00:00:00,5902.02,31024.14
1997-03-12 00:00:00,8637.06,28346.810000000005
1997-03-13 00:00:00,12599.210000000001,70103.17
1997-03-14 00:00:00,2519.8800000000006,49099.270000000004
1997-03-15 00:00:00,11621.489999999998,53529.47
1997-03-16 00:00:00,31381.850000000006,75854.41999999997
1997-03-17 00:00:00,15755.58,54564.31000000001
1997-03-18 00:00:00,2909.52,33812.46
1997-03-19 00:00:00,12647.119999999999,57627.52
1997-03-20 00:00:00,10145.629999999997,41642.67999999999
1997-03-21 00:00:00,1933.8500000000004,8663.330000000002
1997-03-22 00:00:00,5783.86,46148.139999999985
1997-03-23 00:00:00,8181.03,34824.7
1997-03-24 00:00:00,18881.089999999997,69433.54000000001
1997-03-25 00:00:00,16664.160000000003,47497.970000000016
1997-03-26 00:00:00,27530.059999999998,63295.71
1997-03-27 00:00:00,7049.090000000001,44315.280000000006
1997-03-28 00:00:00,11684.689999999999,49739.44999999999
