none_Prod_TypeB_nk,none_Prod_TypeC_nk,sum_Gross_Profit_ok
FURNITURE,BOOKCASES,-1968.85
FURNITURE,BOOKCASES,-1959.57
FURNITURE,BOOKCASES,-1929.98
FURNITURE,BOOKCASES,-1844.04
FURNITURE,BOOKCASES,-1826.92
FURNITURE,BOOKCASES,-1821.53
FURNITURE,BOOKCASES,-1809.01
FURNITURE,BOOKCASES,-1801.65
FURNITURE,BOOKCASES,-1784.65
FURNITURE,BOOKCASES,-1753.36
FURNITURE,BOOKCASES,-1748.22
FURNITURE,BOOKCASES,-1724.78
FURNITURE,BOOKCASES,-1716.58
FURNITURE,BOOKCASES,-1689.03
FURNITURE,BOOKCASES,-1680.09
FURNITURE,BOOKCASES,-1665.5
FURNITURE,BOOKCASES,-1630.16
FURNITURE,BOOKCASES,-1617.03
FURNITURE,BOOKCASES,-1563.31
FURNITURE,BOOKCASES,-1545.15
FURNITURE,BOOKCASES,-1535.17
FURNITURE,BOOKCASES,-1528.96
FURNITURE,BOOKCASES,-1528.69
FURNITURE,BOOKCASES,-1526.15
FURNITURE,BOOKCASES,-1518.33
FURNITURE,BOOKCASES,-1512.86
FURNITURE,BOOKCASES,-1512.76
FURNITURE,BOOKCASES,-1481.53
FURNITURE,BOOKCASES,-1457.36
FURNITURE,BOOKCASES,-1427.34
FURNITURE,BOOKCASES,-1424.3
FURNITURE,BOOKCASES,-1409.87
FURNITURE,BOOKCASES,-1399.56
FURNITURE,BOOKCASES,-1393.64
FURNITURE,BOOKCASES,-1390.75
FURNITURE,BOOKCASES,-1390.67
FURNITURE,BOOKCASES,-1390.45
FURNITURE,BOOKCASES,-1389.84
FURNITURE,BOOKCASES,-1384.22
FURNITURE,BOOKCASES,-1381.86
FURNITURE,BOOKCASES,-1376.3
FURNITURE,BOOKCASES,-1375.05
FURNITURE,BOOKCASES,-1370.21
FURNITURE,BOOKCASES,-1344.58
FURNITURE,BOOKCASES,-1332.22
FURNITURE,BOOKCASES,-1317.25
FURNITURE,BOOKCASES,-1303.75
FURNITURE,BOOKCASES,-1283.11
FURNITURE,BOOKCASES,-1269.19
FURNITURE,BOOKCASES,-1267.69
FURNITURE,BOOKCASES,-1259.22
FURNITURE,BOOKCASES,-1254.35
FURNITURE,BOOKCASES,-1253.56
FURNITURE,BOOKCASES,-1251.76
FURNITURE,BOOKCASES,-1250.9
FURNITURE,BOOKCASES,-1243.24
FURNITURE,BOOKCASES,-1241.68
FURNITURE,BOOKCASES,-1210.83
FURNITURE,BOOKCASES,-1204.8
FURNITURE,BOOKCASES,-1202.13
FURNITURE,BOOKCASES,-1188.66
FURNITURE,BOOKCASES,-1188.57
FURNITURE,BOOKCASES,-1161.04
FURNITURE,BOOKCASES,-1160.23
FURNITURE,BOOKCASES,-1151.73
FURNITURE,BOOKCASES,-1143.74
FURNITURE,BOOKCASES,-1142.78
FURNITURE,BOOKCASES,-1140.77
FURNITURE,BOOKCASES,-1140.56
FURNITURE,BOOKCASES,-1139.39
FURNITURE,BOOKCASES,-1139.15
FURNITURE,BOOKCASES,-1138.29
FURNITURE,BOOKCASES,-1136.92
FURNITURE,BOOKCASES,-1136.14
FURNITURE,BOOKCASES,-1129.66
FURNITURE,BOOKCASES,-1122.64
FURNITURE,BOOKCASES,-1122.27
FURNITURE,BOOKCASES,-1110.4
FURNITURE,BOOKCASES,-1097.98
FURNITURE,BOOKCASES,-1096.97
FURNITURE,BOOKCASES,-1095.67
FURNITURE,BOOKCASES,-1088.54
FURNITURE,BOOKCASES,-1082.96
FURNITURE,BOOKCASES,-1082.05
FURNITURE,BOOKCASES,-1080.41
FURNITURE,BOOKCASES,-1071.73
FURNITURE,BOOKCASES,-1051.73
FURNITURE,BOOKCASES,-1045.57
FURNITURE,BOOKCASES,-1037.89
FURNITURE,BOOKCASES,-1036.56
FURNITURE,BOOKCASES,-1030.02
FURNITURE,BOOKCASES,-1018.62
FURNITURE,BOOKCASES,-1017.76
FURNITURE,BOOKCASES,-1017.13
FURNITURE,BOOKCASES,-1015.38
FURNITURE,BOOKCASES,-1007.33
FURNITURE,BOOKCASES,-1007.31
FURNITURE,BOOKCASES,-998.62
FURNITURE,BOOKCASES,-997.44
FURNITURE,BOOKCASES,-994.08
FURNITURE,BOOKCASES,-993.4
FURNITURE,BOOKCASES,-992.36
FURNITURE,BOOKCASES,-990.61
FURNITURE,BOOKCASES,-989.69
FURNITURE,BOOKCASES,-970.68
FURNITURE,BOOKCASES,-969.78
FURNITURE,BOOKCASES,-966.92
FURNITURE,BOOKCASES,-966.91
FURNITURE,BOOKCASES,-963.6
FURNITURE,BOOKCASES,-959.14
FURNITURE,BOOKCASES,-958.38
FURNITURE,BOOKCASES,-957.52
FURNITURE,BOOKCASES,-952.75
FURNITURE,BOOKCASES,-951.95
FURNITURE,BOOKCASES,-947.57
FURNITURE,BOOKCASES,-946.39
FURNITURE,BOOKCASES,-945.01
FURNITURE,BOOKCASES,-943.93
FURNITURE,BOOKCASES,-943.26
FURNITURE,BOOKCASES,-940.24
FURNITURE,BOOKCASES,-935.19
FURNITURE,BOOKCASES,-933.16
FURNITURE,BOOKCASES,-932.41
FURNITURE,BOOKCASES,-918.91
FURNITURE,BOOKCASES,-916.01
FURNITURE,BOOKCASES,-915.08
FURNITURE,BOOKCASES,-912.19
FURNITURE,BOOKCASES,-911.94
FURNITURE,BOOKCASES,-904.47
FURNITURE,BOOKCASES,-901.19
FURNITURE,BOOKCASES,-899.13
FURNITURE,BOOKCASES,-896.7
FURNITURE,BOOKCASES,-889.92
FURNITURE,BOOKCASES,-889.23
FURNITURE,BOOKCASES,-883.57
FURNITURE,BOOKCASES,-881.15
FURNITURE,BOOKCASES,-878.4
FURNITURE,BOOKCASES,-876.02
FURNITURE,BOOKCASES,-872.8
FURNITURE,BOOKCASES,-871.41
FURNITURE,BOOKCASES,-867.97
FURNITURE,BOOKCASES,-860.31
FURNITURE,BOOKCASES,-855.27
