none_Order_Priority_nk,none_PID_ok,none_Prod_TypeC_nk,none_Ship_Date_ok,sum_Fill_Time_ok
1-URGENT,52543,TABLES,2002-10-01 00:00:00,2
1-URGENT,52551,COMPUTER PERIPHERALS,2002-10-01 00:00:00,2
1-URGENT,52552,COPIERS AND FAX,2002-10-01 00:00:00,2
1-URGENT,52555,BINDERS AND BINDER ACCESSORIES,2002-10-01 00:00:00,2
1-URGENT,52556,PAPER,2002-10-01 00:00:00,2
1-URGENT,52557,OFFICE FURNISHINGS,2002-10-01 00:00:00,2
1-URGENT,52558,TABLES,2002-10-01 00:00:00,2
1-URGENT,52559,BINDERS AND BINDER ACCESSORIES,2002-10-01 00:00:00,2
1-URGENT,52560,OFFICE FURNISHINGS,2002-10-01 00:00:00,2
1-URGENT,52594,LABELS,2002-10-04 00:00:00,2
1-URGENT,52598,ENVELOPES,2002-10-04 00:00:00,2
1-URGENT,52599,TELEPHONES AND COMMUNICATION,2002-10-03 00:00:00,1
1-URGENT,52600,OFFICE FURNISHINGS,2002-10-03 00:00:00,1
1-URGENT,52643,APPLIANCES,2002-10-06 00:00:00,2
1-URGENT,52644,STORAGE & ORGANIZATION,2002-10-05 00:00:00,1
1-URGENT,52645,OFFICE MACHINES,2002-10-05 00:00:00,1
1-URGENT,52646,PAPER,2002-10-05 00:00:00,1
1-URGENT,52700,BINDERS AND BINDER ACCESSORIES,2002-10-08 00:00:00,1
1-URGENT,52701,STORAGE & ORGANIZATION,2002-10-07 00:00:00,0
1-URGENT,52702,COMPUTER PERIPHERALS,2002-10-09 00:00:00,2
1-URGENT,52703,COMPUTER PERIPHERALS,2002-10-09 00:00:00,2
1-URGENT,52704,APPLIANCES,2002-10-07 00:00:00,0
1-URGENT,52755,OFFICE MACHINES,2002-10-10 00:00:00,1
1-URGENT,52756,TELEPHONES AND COMMUNICATION,2002-10-10 00:00:00,1
1-URGENT,52757,STORAGE & ORGANIZATION,2002-10-10 00:00:00,1
1-URGENT,52781,STORAGE & ORGANIZATION,2002-10-12 00:00:00,2
1-URGENT,52782,COMPUTER PERIPHERALS,2002-10-10 00:00:00,0
1-URGENT,52783,PAPER,2002-10-12 00:00:00,2
1-URGENT,52784,BOOKCASES,2002-10-12 00:00:00,2
1-URGENT,52785,CHAIRS & CHAIRMATS,2002-10-11 00:00:00,1
1-URGENT,52818,BINDERS AND BINDER ACCESSORIES,2002-10-14 00:00:00,3
1-URGENT,52819,PAPER,2002-10-13 00:00:00,2
