avg_Profit_ok,none_Date_ok,none_Market_nk
35.607142857142854,1998-01-01 00:00:00,South
36.92857142857143,1998-03-01 00:00:00,South
37.142857142857146,1998-04-01 00:00:00,South
37.357142857142854,1998-02-01 00:00:00,South
39.107142857142854,1998-05-01 00:00:00,South
39.57142857142857,1998-11-01 00:00:00,South
39.642857142857146,1998-09-01 00:00:00,South
40.357142857142854,1998-10-01 00:00:00,South
40.42857142857143,1998-06-01 00:00:00,South
40.75,1998-12-01 00:00:00,South
41.82142857142857,1998-07-01 00:00:00,South
42.07142857142857,1998-01-01 00:00:00,West
42.80357142857143,1998-11-01 00:00:00,West
43.160714285714285,1998-02-01 00:00:00,West
43.339285714285715,1998-04-01 00:00:00,West
43.375,1998-09-01 00:00:00,West
43.5,1998-03-01 00:00:00,West
44.07142857142857,1998-08-01 00:00:00,South
44.25,1998-10-01 00:00:00,West
44.267857142857146,1998-12-01 00:00:00,West
44.92857142857143,1998-05-01 00:00:00,West
46.810810810810814,1998-01-01 00:00:00,East
47.375,1998-06-01 00:00:00,West
48.78378378378378,1998-03-01 00:00:00,East
49.2972972972973,1998-09-01 00:00:00,East
49.714285714285715,1998-07-01 00:00:00,West
49.810810810810814,1998-02-01 00:00:00,East
49.875,1998-08-01 00:00:00,West
52.486486486486484,1998-11-01 00:00:00,East
52.714285714285715,1998-11-01 00:00:00,Central
52.785714285714285,1998-01-01 00:00:00,Central
52.891891891891895,1998-10-01 00:00:00,East
53.97435631849548,1999-05-01 00:00:00,South
54.69642857142857,1998-02-01 00:00:00,Central
54.80383407799318,1999-03-01 00:00:00,South
54.891891891891895,1998-04-01 00:00:00,East
55.054054054054056,1998-12-01 00:00:00,East
55.12184472061204,1999-04-01 00:00:00,South
55.17857142857143,1998-03-01 00:00:00,Central
55.43985536323098,1999-02-01 00:00:00,South
55.48490687093531,1999-01-01 00:00:00,South
55.517857142857146,1998-10-01 00:00:00,Central
55.67567567567568,1998-05-01 00:00:00,East
55.79814735391493,1999-06-01 00:00:00,South
56.160714285714285,1998-09-01 00:00:00,Central
56.32142857142857,1998-12-01 00:00:00,Central
56.62162162162162,1998-08-01 00:00:00,East
56.642857142857146,1998-04-01 00:00:00,Central
57.720521688546306,1999-07-01 00:00:00,South
58.5,1998-05-01 00:00:00,Central
58.72596533695981,1999-11-01 00:00:00,South
58.8319688844994,1999-09-01 00:00:00,South
59.8920043598958,1999-10-01 00:00:00,South
60.32142857142857,1998-06-01 00:00:00,Central
60.47502387136383,1999-12-01 00:00:00,South
60.825895613720085,1999-08-01 00:00:00,South
61.5,1998-08-01 00:00:00,Central
62.00889520426242,1999-05-01 00:00:00,West
62.910714285714285,1998-07-01 00:00:00,Central
63.52262586312843,1999-11-01 00:00:00,West
64.05264360082661,1999-02-01 00:00:00,West
64.3176524696757,1999-04-01 00:00:00,West
64.37065424344554,1999-09-01 00:00:00,West
64.5561604516399,1999-03-01 00:00:00,West
65.08108108108108,1998-06-01 00:00:00,East
65.38537320226875,1999-06-01 00:00:00,West
65.55789397588951,1999-01-01 00:00:00,West
65.5945945945946,1998-07-01 00:00:00,East
65.6691977008061,1999-10-01 00:00:00,West
65.69569858769101,1999-12-01 00:00:00,West
68.61397625145726,1999-07-01 00:00:00,West
68.83578867468398,1999-08-01 00:00:00,West
72.39755800882884,1999-03-01 00:00:00,East
72.94304653454633,1999-01-01 00:00:00,East
73.15963756681656,1999-09-01 00:00:00,East
73.92171712480418,1999-02-01 00:00:00,East
76.8416851154096,1999-05-01 00:00:00,East
77.89255271642419,1999-11-01 00:00:00,East
78.14724772659379,1999-08-01 00:00:00,East
78.23061808425332,1999-11-01 00:00:00,Central
78.49419447273017,1999-10-01 00:00:00,East
80.73972205451662,1999-05-01 00:00:00,Central
81.17221652847823,1999-02-01 00:00:00,Central
81.46229380384008,1999-04-01 00:00:00,East
81.70295050636255,1999-12-01 00:00:00,East
81.88774047437083,1999-03-01 00:00:00,Central
82.25345271338259,1999-01-01 00:00:00,Central
82.39125732518407,1999-10-01 00:00:00,Central
83.25359618441907,1999-06-01 00:00:00,Central
83.34528925304085,1999-09-01 00:00:00,Central
83.58379723500506,1999-12-01 00:00:00,Central
84.06081319893339,1999-04-01 00:00:00,Central
84.88022062141485,1999-08-01 00:00:00,Central
86.82724078084915,1999-07-01 00:00:00,Central
89.82270764946905,1999-06-01 00:00:00,East
90.5314416383976,1999-07-01 00:00:00,East
