none_Customer_State_nk,none_Order_Date_ok,sum_My_Divide_By_Zero_ok
ALABAMA,1997-01-23 00:00:00,2573.75
ALABAMA,1997-02-26 00:00:00,2597.0999999999995
ALABAMA,1997-03-29 00:00:00,3468.75
ALABAMA,1997-03-31 00:00:00,2809.8
ALABAMA,1997-08-08 00:00:00,34101.75
ALABAMA,1997-08-19 00:00:00,2516.333333333333
ALABAMA,1997-09-19 00:00:00,7441.5
ALABAMA,1997-10-26 00:00:00,3112.25
ALABAMA,1997-12-30 00:00:00,3299.7142857142853
ALABAMA,1998-01-19 00:00:00,2637.25
ALABAMA,1998-02-03 00:00:00,4762.285714285714
ALABAMA,1998-02-09 00:00:00,2734.375
ALABAMA,1998-03-15 00:00:00,2363
ALABAMA,1998-05-15 00:00:00,6732.595238095238
ALABAMA,1998-08-22 00:00:00,2921
ALABAMA,1998-09-20 00:00:00,9366.000000000002
ALABAMA,1998-10-16 00:00:00,1734.375
ALABAMA,1998-11-17 00:00:00,26211
ALABAMA,1998-12-03 00:00:00,5242.2
ALABAMA,1998-12-11 00:00:00,7871.142857142857
ALABAMA,1999-01-04 00:00:00,2362.222222222222
ALABAMA,1999-02-06 00:00:00,41740
ALABAMA,1999-02-09 00:00:00,1318.625
ALABAMA,1999-02-11 00:00:00,5194.199999999999
ALABAMA,1999-08-09 00:00:00,20870
ALABAMA,1999-11-03 00:00:00,1318.625
ALABAMA,2000-02-05 00:00:00,5774.5
ALABAMA,2000-02-07 00:00:00,5509.8
ALABAMA,2000-03-02 00:00:00,9366.000000000002
ALABAMA,2000-06-17 00:00:00,8549
ALABAMA,2000-07-23 00:00:00,7070.166666666667
ALABAMA,2000-11-03 00:00:00,14809
ALABAMA,2001-01-08 00:00:00,1758.1666666666667
ALABAMA,2001-05-17 00:00:00,12449
ALABAMA,2001-07-19 00:00:00,2573.75
ALABAMA,2001-09-06 00:00:00,3949.5
ALABAMA,2001-12-24 00:00:00,4375.166666666667
ALABAMA,2002-03-27 00:00:00,1110.75
ALABAMA,2002-04-20 00:00:00,4482.25
ALABAMA,2002-07-06 00:00:00,1815.4166666666667
ALABAMA,2002-07-29 00:00:00,1074.75
ALABAMA,2002-08-09 00:00:00,1997.7692307692305
ALABAMA,2002-08-12 00:00:00,8929.8
ALABAMA,2002-08-31 00:00:00,1635.3846153846152
ALABAMA,2002-09-05 00:00:00,5302.625
ALABAMA,2002-09-12 00:00:00,0
ALABAMA,2002-11-08 00:00:00,0
ARIZONA,1997-02-02 00:00:00,4961
ARIZONA,1997-03-14 00:00:00,2561.2857142857138
ARIZONA,1997-03-19 00:00:00,6683.000000000001
ARIZONA,1997-03-26 00:00:00,4868.333333333334
ARIZONA,1997-04-29 00:00:00,4375.166666666667
ARIZONA,1997-09-16 00:00:00,6964.199999999999
ARIZONA,1997-10-07 00:00:00,507.6666666666667
ARIZONA,1997-10-20 00:00:00,26211
ARIZONA,1997-10-28 00:00:00,25851
ARIZONA,1997-10-30 00:00:00,6412.799999999999
ARIZONA,1997-12-08 00:00:00,8657
ARIZONA,1997-12-26 00:00:00,6378.428571428571
ARIZONA,1998-02-18 00:00:00,0
ARIZONA,1998-02-27 00:00:00,304.59999999999997
ARIZONA,1998-03-10 00:00:00,2809.8
ARIZONA,1998-03-19 00:00:00,0
ARIZONA,1998-04-17 00:00:00,4762.285714285714
ARIZONA,1998-05-18 00:00:00,0
ARIZONA,1998-07-17 00:00:00,1556.125
ARIZONA,1998-09-21 00:00:00,3206.3999999999996
ARIZONA,1998-10-20 00:00:00,8549
ARIZONA,1998-10-27 00:00:00,2664.523809523809
ARIZONA,1998-11-11 00:00:00,493.6666666666667
ARIZONA,1998-12-22 00:00:00,3750.142857142857
ARIZONA,1999-01-03 00:00:00,8334
ARIZONA,1999-01-16 00:00:00,2109.7999999999997
ARIZONA,1999-01-25 00:00:00,5012.25
ARIZONA,1999-06-05 00:00:00,3645.8333333333335
ARIZONA,1999-07-05 00:00:00,304.59999999999997
ARIZONA,1999-08-11 00:00:00,7404.5
ARIZONA,1999-09-12 00:00:00,7408.595238095238
ARIZONA,1999-11-25 00:00:00,1778.428571428571
ARIZONA,2000-02-07 00:00:00,1054.8999999999999
ARIZONA,2000-02-27 00:00:00,10773
ARIZONA,2000-04-22 00:00:00,10630
ARIZONA,2000-05-10 00:00:00,2090.5714285714284
ARIZONA,2000-05-24 00:00:00,18366
ARIZONA,2000-07-29 00:00:00,3543.3333333333335
ARIZONA,2000-08-31 00:00:00,0
ARIZONA,2000-09-10 00:00:00,8964.5
ARIZONA,2000-10-10 00:00:00,1228.2857142857142
ARIZONA,2000-10-12 00:00:00,2442.571428571428
ARIZONA,2000-10-20 00:00:00,4868.333333333334
ARIZONA,2000-10-21 00:00:00,11377.5
ARIZONA,2000-11-12 00:00:00,507.6666666666667
ARIZONA,2000-11-19 00:00:00,2561.2857142857138
ARIZONA,2000-12-16 00:00:00,13774.5
ARIZONA,2000-12-17 00:00:00,453.71428571428567
ARIZONA,2000-12-30 00:00:00,2988.1666666666665
ARIZONA,2001-04-20 00:00:00,34821
ARIZONA,2001-06-06 00:00:00,2439
ARIZONA,2001-06-15 00:00:00,10630
ARIZONA,2001-06-27 00:00:00,2962.125
ARIZONA,2001-09-13 00:00:00,1216.5
ARIZONA,2001-09-29 00:00:00,11162.25
ARIZONA,2001-10-04 00:00:00,7302.5
ARIZONA,2001-10-27 00:00:00,5619.6
ARIZONA,2001-12-19 00:00:00,4173.999999999999
ARIZONA,2002-04-18 00:00:00,7699.333333333333
ARIZONA,2002-05-04 00:00:00,2161.3846153846152
ARIZONA,2002-05-08 00:00:00,2961.7999999999997
ARIZONA,2002-05-11 00:00:00,1172.111111111111
ARIZONA,2002-05-13 00:00:00,25970.999999999996
ARIZONA,2002-06-01 00:00:00,13913.333333333334
ARIZONA,2002-08-15 00:00:00,2678.5384615384614
ARIZONA,2002-09-15 00:00:00,18366
ARIZONA,2002-10-31 00:00:00,1424.8333333333333
CALIFORNIA,1997-02-10 00:00:00,13525.333333333332
CALIFORNIA,1997-03-02 00:00:00,2312.5
CALIFORNIA,1997-03-19 00:00:00,14140.333333333334
CALIFORNIA,1997-03-30 00:00:00,5274.5
CALIFORNIA,1997-04-15 00:00:00,6887.25
CALIFORNIA,1997-04-28 00:00:00,2809.8
CALIFORNIA,1997-05-26 00:00:00,5509.8
CALIFORNIA,1997-06-09 00:00:00,1992.111111111111
CALIFORNIA,1997-06-12 00:00:00,8381.142857142857
CALIFORNIA,1997-06-20 00:00:00,380.75
CALIFORNIA,1997-06-21 00:00:00,22755
CALIFORNIA,1997-08-20 00:00:00,1622.777777777778
CALIFORNIA,1997-09-16 00:00:00,2275.5
CALIFORNIA,1997-12-31 00:00:00,0
CALIFORNIA,1998-04-20 00:00:00,8964.5
CALIFORNIA,1998-05-25 00:00:00,20437.833333333336
CALIFORNIA,1998-07-08 00:00:00,3246.3749999999995
CALIFORNIA,1998-07-21 00:00:00,8929.8
CALIFORNIA,1998-07-28 00:00:00,5012.25
CALIFORNIA,1998-08-31 00:00:00,5032.666666666666
CALIFORNIA,1998-10-21 00:00:00,2849.6666666666665
CALIFORNIA,1998-11-05 00:00:00,2178.625
CALIFORNIA,1998-11-08 00:00:00,0
CALIFORNIA,1998-11-18 00:00:00,0
CALIFORNIA,1998-12-13 00:00:00,3281.375
CALIFORNIA,1999-02-03 00:00:00,2489.7999999999997
CALIFORNIA,1999-02-15 00:00:00,3869
CALIFORNIA,1999-03-16 00:00:00,10580.5
CALIFORNIA,1999-04-14 00:00:00,3744.428571428571
CALIFORNIA,1999-04-18 00:00:00,2241.125
CALIFORNIA,1999-04-23 00:00:00,17410.5
CALIFORNIA,1999-05-04 00:00:00,8019.6
CALIFORNIA,1999-05-05 00:00:00,5217.5
CALIFORNIA,1999-05-07 00:00:00,17929
CALIFORNIA,1999-05-09 00:00:00,0
CALIFORNIA,1999-05-23 00:00:00,4551
CALIFORNIA,1999-05-31 00:00:00,2809.8
CALIFORNIA,1999-08-06 00:00:00,5012.25
CALIFORNIA,1999-10-01 00:00:00,635.2
