none_Date_ok,sum_Profit_ok,sum_Sales_ok
1998-01-01 00:00:00,8041,31555
1998-02-01 00:00:00,8369,32092
1998-03-01 00:00:00,8365,32245
1998-04-01 00:00:00,8670,32943
1998-05-01 00:00:00,8947,33692
1998-06-01 00:00:00,9571,35125
1998-07-01 00:00:00,9905,36161
1998-08-01 00:00:00,9566,36029
1998-09-01 00:00:00,8508,33092
1998-10-01 00:00:00,8674,32849
1998-11-01 00:00:00,8399,32003
1998-12-01 00:00:00,8811,33373
1999-01-01 00:00:00,12529.905528763637,35308.77275595591
1999-02-01 00:00:00,12420.011651029305,34199.670576216486
1999-03-01 00:00:00,12414.075452367082,34362.71898697813
1999-04-01 00:00:00,12866.710600361332,35106.56075633495
1999-05-01 00:00:00,12348.346892679641,33391.41935622941
1999-06-01 00:00:00,13209.570594594492,34811.634954516165
1999-07-01 00:00:00,13670.54610170916,35838.39235844154
1999-08-01 00:00:00,13202.669763649668,35707.569986512804
1999-09-01 00:00:00,12626.294554541439,35265.3464635472
1999-10-01 00:00:00,12872.646799023558,35006.387222925856
1999-11-01 00:00:00,12464.533140995944,34104.82542224409
1999-12-01 00:00:00,13075.961603204585,35564.80138788714
