avg_Discount_ok,none_Prod_TypeE_nk,sum_Gross_Profit_ok
0.04836134453781504,PRINTING CALCULATORS,273351.15
0.05034285714285709,COLORED ENVELOPES,25386.96999999999
0.051780303030302934,SPECIALTY STATIONARY,2571.2799999999993
0.051825613079019076,LETTER OPENERS,98530.86999999992
0.05185344827586204,PINS AND TACKS,-164.58999999999995
0.05237947122861585,CHALK,13378.130000000003
0.05243902439024384,PEEL AND SEAL,38150.179999999986
0.05254515599343188,EXECUTIVE CHAIRS,387529.8099999999
0.05262458471760791,ERICSSON,1106096.8999999997
0.05266666666666655,PAPER CLIPS,7842.490000000003
0.05272865853658537,SCISSORS,-14596.57
0.0527321668909825,BINDER ACCESSORIES,-44697.21999999998
0.05286052009456262,COMPUTER PAPER,706204.3300000005
0.05288092189500632,DOT MATRIX PRINTERS,3163666.859999999
0.05306513409961673,SCIENTIFIC CALCULATORS,22788.680000000008
0.05309023485784917,ROUND RING BINDERS,145775.05000000022
0.053099343185550034,NOKIA,2040651.989999998
0.05310457516339861,RECYCLED ENVELOPES,9651.549999999997
0.05330322580645157,DVD,337185.21000000037
0.0533126550868486,HIGHLIGHTERS,8015.690000000001
0.05339350180505409,SHELVING,-438132.2899999999
0.053413654618473826,METAL BOOKCASES,172989.47999999995
0.053540753724802805,FILE LABELS,54945.859999999935
0.05354632587859423,HEAVY DUTY BINDERS,199036.34999999966
0.053768656716417854,LIGHT BULBS,33350.36000000001
0.053866171003717406,DOOR ACCESSORIES,11460.100000000004
0.05390563564875486,STACKING AND FOLDING CHAIRS,709570.5399999999
0.05393419170243203,CD-R MEDIA,158295.46999999986
0.05395833333333329,STRIP PROTECTORS,307171.2399999998
0.053965336134453895,MEETING ROOM TABLES,696755.3299999996
0.053993174061433405,HANGING BINDERS,-11529.810000000009
0.05413628212791388,MOTOROLA,1612325.2599999986
0.05421455938697313,MANUAL SHARPENERS,-534.8399999999995
0.05424976700838763,WOODEN BOOKCASES,33131.54000000003
0.05435114503816788,FLOOR LAMPS,-20780.009999999995
0.054423592493297576,VACUUM CLEANERS,173477.46000000025
0.054429411764705934,MEMO SLIPS,109867.31000000003
0.054438502673796726,STORAGE CABINETS,121390.34000000003
0.05447429906542057,MATS,17001.75000000002
0.054659383033419065,COLORED PENS,26091.449999999968
0.0547033898305084,ANSWERING MACHINES,71025.12000000004
0.05472440944881885,BINDER CLIPS,6837.849999999995
0.05474576271186434,PLASTIC STORAGE,-29119.70000000002
0.05479999999999998,INKJET PRINTERS,1354857.39
0.05482885085574569,ELECTRONIC SHARPENERS,123387.21999999988
0.054850340136054485,BINDING SUPPLIES,86739.30999999998
0.05486021505376343,CORDLESS KEYBOARDS,454512.8400000001
0.05486515641855446,PORTABLE STORAGE,542930.1200000006
0.05499999999999994,PERSONAL COPIERS,1470371.6600000001
0.054999999999999945,BUSINESS COPIERS,2001736.479999999
0.05501962836953708,COPY PAPER,-149783.48000000004
0.05505154639175259,WOOD PENCILS,-1064.3100000000002
0.05513994910941479,FLOPPY DISKS,-22545.87999999998
0.05516286644951143,CORDED KEYBOARDS,218292.38000000012
0.05517110266159687,SPECIALTY ENVELOPES,136968.41999999998
0.05531506849315067,POLY BINDERS,-37455.50000000002
0.055362903225806434,BUSINESS ENVELOPES,88122.53000000004
0.055592705167173205,PLASTIC DESK SETS,-29073.859999999982
0.05581632653061215,STANDARD LABELS,108857.24999999999
0.05585227272727267,REFRIGERATORS,255893.0600000001
0.05616494845360826,CARDBOARD STORAGE,86749.64999999998
0.056573849878934615,TASK CHAIRS,199203.99999999988
0.05662162162162153,MONITOR PROTECTORS,269219.5099999999
0.0567765567765567,BUSINESS STATIONARY,-14717.030000000002
0.05715596330275219,MANAGER CHAIRS,179613.03000000003
0.057403100775193706,RUBBER BANDS,-2938.59
0.05751999999999996,STENO BOOKS,-201.75000000000006
0.06707581227436812,END TABLES,-89895.5300000001
0.07064885496183203,SINGLE LINE PHONES,57957.92999999999
0.07105809128630698,MODEMS,364321.2800000003
0.07310469314079417,WOOD DESK SETS,-15735.269999999993
0.07474103585657368,CONFERENCE PHONES,1785171.7700000007
0.0754381210478771,CLOCKS,123162.52000000015
0.07545132743362837,FRAMES,30747.14000000003
0.07572504708097928,BINDING MACHINES,2101031.0400000005
0.07689795918367341,SHOP TABLES,137733.50999999995
0.07696750902527082,AIR PURIFIERS,335610.79999999993
0.07769607843137247,MAGNIFIER LAMPS,95381.82000000007
0.07954716981132066,CLAMP ON LAMPS,19934.100000000035
