none_Prod_TypeB_nk,none_Prod_TypeC_nk,sum_Gross_Profit_ok
FURNITURE,BOOKCASES,206121.0199999996
FURNITURE,CHAIRS & CHAIRMATS,1475917.3800000022
OFFICE SUPPLIES,ENVELOPES,298279.6499999996
OFFICE SUPPLIES,LABELS,163803.11000000004
OFFICE SUPPLIES,PAPER,653940.6600000004
OFFICE SUPPLIES,PENS & ART SUPPLIES,169273.34000000078
OFFICE SUPPLIES,RUBBER BANDS,11577.159999999989
OFFICE SUPPLIES,SCISSORS\, RULERS AND TRIMMERS,83934.29999999992
OFFICE SUPPLIES,STORAGE & ORGANIZATION,283818.1200000001
TECHNOLOGY,COPIERS AND FAX,3472108.1399999964
TECHNOLOGY,TELEPHONES AND COMMUNICATION,4830099.269999991
